"pft","feature","x","ale_mean","ale_lo","ale_hi","bin_count","n_folds"
"Coccolithophores","ice_volume_flux_current",-52.3,-0.00107737030586199,-0.00109502432164824,-0.00077047569015897,1532,5
"Coccolithophores","ice_volume_flux_current",-44.05,-0.00133594882416339,-0.00155980023014563,-0.000384761799677965,1379,5
"Coccolithophores","ice_volume_flux_current",-35.55,-0.00294261582417887,-0.00345979217518064,-0.00134429064177178,1429,5
"Coccolithophores","ice_volume_flux_current",-32,-0.00170702522814217,-0.0030004144550697,0.000470391854277893,1540,5
"Coccolithophores","ice_volume_flux_current",-27.15,-0.000878743820289837,-0.00190677964846352,0.000529062651597724,1510,5
"Coccolithophores","ice_volume_flux_current",-22.9,0.000805752311707852,-0.000733410082655456,0.00196034691785364,1541,5
"Coccolithophores","ice_volume_flux_current",-17.6,7.61913033688714e-05,-0.00139431937201102,-0.000257661404243803,1554,5
"Coccolithophores","ice_volume_flux_current",-10.35,-0.00107865651407645,-0.00280790418520765,-0.000483954786497481,1520,5
"Coccolithophores","ice_volume_flux_current",-5.7,0.00304205111265338,0.00210192118839444,0.00406497617539091,1320,5
"Coccolithophores","ice_volume_flux_current",-1.5,0.00335684941884892,0.00312477068559628,0.00391877716790824,1685,5
"Coccolithophores","ice_volume_flux_current",10.25,0.00607250352121513,0.00576300404872359,0.00706483084441008,1542,5
"Coccolithophores","ice_volume_flux_lag1",-284.9,-0.00269555072662731,-0.00363884167242551,-0.00269392028886328,1482,5
"Coccolithophores","ice_volume_flux_lag1",-227.35,-0.00243687638808569,-0.00328848118726724,-0.00209874159183089,1413,5
"Coccolithophores","ice_volume_flux_lag1",-192.45,-0.00201304544053012,-0.00298133597471894,-0.00181258710414737,1426,5
"Coccolithophores","ice_volume_flux_lag1",-163.3,-0.00114112733611219,-0.00224416410432679,-0.000662991814032646,1643,5
"Coccolithophores","ice_volume_flux_lag1",-143.85,-0.00164648991249526,-0.00265996992184285,-0.00121971871003953,1198,5
"Coccolithophores","ice_volume_flux_lag1",-133.1,-0.00436563228573226,-0.00473346480681996,-0.00386681324564641,1835,5
"Coccolithophores","ice_volume_flux_lag1",-120.7,-0.00526857890621888,-0.00532606721427586,-0.00488625671966178,1446,5
"Coccolithophores","ice_volume_flux_lag1",-113.25,-0.00534073084020829,-0.00533914256470369,-0.00497153520024691,1330,5
"Coccolithophores","ice_volume_flux_lag1",-103.55,-0.00345664840245754,-0.00334222141227401,-0.00297036806172886,1580,5
"Coccolithophores","ice_volume_flux_lag1",-93.9,-0.00243534831145032,-0.00222956751273354,-0.00215485258676156,1547,5
"Coccolithophores","ice_volume_flux_lag1",-89.2,-0.000961853961932934,-0.00152250970139536,-0.000524494016821655,1462,5
"Coccolithophores","ice_volume_flux_lag1",-83.5,-0.00080096405835697,-0.00208064811723402,-3.88735575508749e-05,1516,5
"Coccolithophores","ice_volume_flux_lag1",-71.85,0.000102545931444139,-0.000813059237850926,0.00171384380705009,1455,5
"Coccolithophores","ice_volume_flux_lag1",-58.75,-0.000391690314245633,-0.000929240639772684,-0.00031562304289228,1564,5
"Coccolithophores","ice_volume_flux_lag1",-52.15,0.00323796603837572,0.00219314476380003,0.00306647155323301,1450,5
"Coccolithophores","ice_volume_flux_lag1",-43.6,0.00319192027491369,0.00238798577672754,0.00263696597589111,1496,5
"Coccolithophores","ice_volume_flux_lag1",-30.3,0.00353992422860972,0.00253740215870961,0.00301218068394303,1581,5
"Coccolithophores","ice_volume_flux_lag1",-22.3,0.00382543552091295,0.0026034566568674,0.00414666469113735,1198,5
"Coccolithophores","ice_volume_flux_lag1",-13.35,0.00417106051001104,0.00324842897790326,0.00415359925866495,1639,5
"Coccolithophores","ice_volume_flux_lag1",6,0.0130623408955973,0.0118298401189109,0.0132852098343477,1739,5
"Coccolithophores","ice_volume_flux_lag2",-362.55,-0.00179911984836893,-0.00298091527207811,-6.52852789502213e-05,1281,5
"Coccolithophores","ice_volume_flux_lag2",-273.8,-0.00261224888636615,-0.00411455820475867,-0.000979760763946603,1701,5
"Coccolithophores","ice_volume_flux_lag2",-247.2,-0.00183031513315036,-0.00318848221609221,-0.000312749567373575,1308,5
"Coccolithophores","ice_volume_flux_lag2",-232.9,-0.00136335044972718,-0.00268567661539828,0.000220851092304506,1576,5
"Coccolithophores","ice_volume_flux_lag2",-208.25,-0.000772679093795448,-0.00179481637223569,0.000289548232568449,1507,5
"Coccolithophores","ice_volume_flux_lag2",-187.65,-0.000326300741797177,-0.00152582905995256,0.000322972703562589,1527,5
"Coccolithophores","ice_volume_flux_lag2",-174,-0.00051983273833979,-0.00174328493374648,0.000230485825970279,1485,5
"Coccolithophores","ice_volume_flux_lag2",-157.5,-0.000968690476655134,-0.00194713279714385,-0.000241439291383011,1562,5
"Coccolithophores","ice_volume_flux_lag2",-144.7,-0.00237614141533717,-0.00312304083021531,-0.0016382588701055,1244,5
"Coccolithophores","ice_volume_flux_lag2",-135.25,-0.00194706742227539,-0.00268819441940934,-0.00177490697039642,1701,5
"Coccolithophores","ice_volume_flux_lag2",-122.75,-0.00120847371427243,-0.00217077005477952,-0.00072513136653853,1397,5
"Coccolithophores","ice_volume_flux_lag2",-115.4,-0.00129764780140979,-0.00199121297004025,-0.000593449719997691,1558,5
